Date,Open,High,Low,Close,Adj Close,Volume
2016/10/1,158.059998,158.529999,147.789993,153.690002,122.709351,78327200
2016/11/1,153.5,164.660004,151,162.220001,129.519913,76338800
2016/12/1,161.949997,169.949997,158.300003,165.990005,133.732269,69470400
2017/1/1,167,179.25,165.339996,174.520004,140.604599,88764500
2017/2/1,175,182.789993,172.889999,179.820007,144.874619,59820600
2017/3/1,180.479996,182.550003,172.089996,174.139999,141.407761,79477000
2017/4/1,173.820007,176.330002,159.600006,160.289993,130.161072,100052300
2017/5/1,160.050003,160.419998,149.789993,152.630005,123.940926,103329100
2017/6/1,152.800003,157.199997,150.800003,153.830002,126.135628,83977000
2017/7/1,153.580002,156.029999,143.639999,144.669998,118.624733,93293500
2017/8/1,145,145.669998,139.130005,143.029999,117.279968,80246500
2017/9/1,142.979996,147.419998,141.639999,145.080002,120.217812,78296700
2017/10/1,145.350006,162.509995,145.210007,154.059998,127.658882,125345600
2017/11/1,154.100006,154.899994,146.210007,153.970001,127.584305,89775600
2017/12/1,154.399994,157.850006,151.490005,153.419998,128.399277,88788100
2018/1/1,154.5,171.130005,153.539993,163.699997,137.002747,145086400
2018/2/1,163.190002,164.130005,144.399994,155.830002,130.416229,102364900
2018/3/1,155.529999,162.110001,148.539993,153.429993,129.671921,94316900
2018/4/1,153.339996,162,144.110001,144.960007,122.513458,122745300
2018/5/1,144.649994,146.199997,139.899994,141.309998,119.428642,88812900
2018/6/1,142.429993,147.520004,137.449997,139.699997,119.378624,89801400
2018/7/1,138.279999,150.539993,138.199997,144.929993,123.847839,94954000
2018/8/1,144.759995,147.929993,142,146.479996,125.172348,79195100
2018/9/1,145.979996,153.350006,144.809998,151.210007,130.610321,95867900
2018/10/1,151.710007,154.360001,114.089996,115.43,99.704704,198093000
2018/11/1,115.5,125.059998,114.540001,124.269997,107.340416,141718900
2018/12/1,125.669998,126.589996,105.940002,113.669998,99.434967,115604100
2019/1/1,112.010002,135.410004,111.690002,134.419998,117.586418,120387100
2019/2/1,134.970001,140.490005,132.119995,138.130005,120.831825,68461200
2019/3/1,139.309998,142.119995,133.580002,141.100006,124.868004,74687300
2019/4/1,141.509995,145.389999,136.259995,140.270004,124.133484,80197500
2019/5/1,140.550003,141.809998,126.849998,126.989998,112.381203,75536400
2019/6/1,127.099998,140.149994,127.059998,137.899994,123.485733,61341600
2019/7/1,139.600006,151.940002,139.130005,148.240005,132.744949,80161300
2019/8/1,148.899994,152.949997,128.830002,135.529999,121.363464,96250600
2019/9/1,134.850006,146.570007,133.330002,145.419998,131.753998,61812000
2019/10/1,145.589996,147.350006,130.899994,133.729996,121.162605,91420200
2019/11/1,134.5,139.139999,132.75,134.449997,121.814941,64772300
2019/12/1,134.449997,136.419998,130.690002,134.039993,122.877831,71853900
2020/1/1,135,145.789993,133.199997,143.729996,131.760895,113249700
2020/2/1,144.25,158.75,126.360001,130.149994,119.311775,118146600
2020/3/1,130.75,136.100006,90.559998,110.93,102.754219,190076300
2020/4/1,106.360001,129.309998,104.519997,125.559998,116.305939,130694000
2020/5/1,123.190002,126.970001,111.809998,124.900002,115.694595,92882000
2020/6/1,124.639999,135.880005,115.879997,120.769997,113.36927,121001600
2020/7/1,120.269997,132.169998,115.199997,122.940002,115.406311,114182300
2020/8/1,123.5,130.470001,122.150002,123.309998,115.753624,74033500
2020/9/1,122.849998,129.949997,116.480003,121.669998,115.709587,84483600
2020/10/1,122.360001,135.5,105.919998,111.660004,106.189964,159115500
2020/11/1,112.650002,125.309998,111.160004,123.519997,117.468948,103669300
2020/12/1,123.900002,127.690002,121.720001,125.879997,121.449242,102823200
2021/1/1,125.849998,132.240005,117.360001,119.110001,114.917534,175908200
2021/2/1,119.900002,124.349998,118.120003,118.93,114.743874,106709200
2021/3/1,120.349998,137.070007,118.760002,133.259995,130.287537,127965900
2021/4/1,133.759995,148.740005,130.380005,141.880005,138.715271,122919300
2021/5/1,143.809998,148.509995,140.919998,143.740005,140.533783,98032900
2021/6/1,145,152.839996,143.039993,146.589996,144.921539,84448200
2021/7/1,146.960007,147.5,136.210007,140.960007,139.355637,110620600
2021/8/1,141.449997,144.699997,137.210007,140.339996,138.742676,69680000
2021/9/1,139.979996,140.470001,139.029999,139.580002,139.580002,7111200
2021/9/3,139.679993,140.470001,139.300003,139.580002,139.580002,1847759
